Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638237357661,1
UPDATE latency raw data: op, timestamp(ms), latency(us)
UPDATE,1638237323351,190576
UPDATE,1638237323388,36153
UPDATE,1638237323425,36873
UPDATE,1638237323458,32893
UPDATE,1638237323495,37114
UPDATE,1638237323523,28602
UPDATE,1638237323555,31889
UPDATE,1638237323593,37529
UPDATE,1638237323629,36124
UPDATE,1638237323663,33393
UPDATE,1638237323699,36447
UPDATE,1638237323742,43239
UPDATE,1638237323776,33146
UPDATE,1638237323819,43846
UPDATE,1638237323864,44858
UPDATE,1638237323902,37551
UPDATE,1638237323939,36694
UPDATE,1638237323969,29831
UPDATE,1638237324005,36602
UPDATE,1638237324038,32934
UPDATE,1638237324076,37974
UPDATE,1638237324110,33520
UPDATE,1638237324146,36110
UPDATE,1638237324183,36520
UPDATE,1638237324213,30475
UPDATE,1638237324242,28907
UPDATE,1638237324278,35723
UPDATE,1638237324311,33179
UPDATE,1638237324349,38212
UPDATE,1638237324386,36408
UPDATE,1638237324415,29447
UPDATE,1638237324450,34187
UPDATE,1638237324484,34482
UPDATE,1638237324520,36150
UPDATE,1638237324554,33982
UPDATE,1638237324599,43976
UPDATE,1638237324633,34189
UPDATE,1638237324666,33481
UPDATE,1638237324697,30497
UPDATE,1638237324731,33658
UPDATE,1638237324764,33248
UPDATE,1638237324801,36822
UPDATE,1638237324835,34042
UPDATE,1638237324868,32914
UPDATE,1638237324905,36766
UPDATE,1638237324941,35976
UPDATE,1638237324978,37270
UPDATE,1638237325014,35478
UPDATE,1638237325047,33576
UPDATE,1638237325083,35933
UPDATE,1638237325116,33313
UPDATE,1638237325155,38528
UPDATE,1638237325187,32379
UPDATE,1638237325217,29320
UPDATE,1638237325248,30605
UPDATE,1638237325284,36677
UPDATE,1638237325324,39992
UPDATE,1638237325357,32682
UPDATE,1638237325388,31395
UPDATE,1638237325423,34096
UPDATE,1638237325460,36907
UPDATE,1638237325492,32244
UPDATE,1638237325531,38897
UPDATE,1638237325562,31368
UPDATE,1638237325594,31294
UPDATE,1638237325629,35442
UPDATE,1638237325658,28917
UPDATE,1638237325690,31975
UPDATE,1638237325721,30591
UPDATE,1638237325755,34656
UPDATE,1638237325790,34285
UPDATE,1638237325821,30746
UPDATE,1638237325856,35585
UPDATE,1638237325891,34978
UPDATE,1638237325925,33754
UPDATE,1638237325962,36927
UPDATE,1638237325998,35585
UPDATE,1638237326036,37795
UPDATE,1638237326065,29401
UPDATE,1638237326095,29698
UPDATE,1638237326128,33073
UPDATE,1638237326164,35648
UPDATE,1638237326200,36154
UPDATE,1638237326236,36698
UPDATE,1638237326270,33164
UPDATE,1638237326305,35671
UPDATE,1638237326342,36492
UPDATE,1638237326376,34262
UPDATE,1638237326404,27750
UPDATE,1638237326441,36545
UPDATE,1638237326479,38511
UPDATE,1638237326515,35782
UPDATE,1638237326557,41572
UPDATE,1638237326589,31799
UPDATE,1638237326619,30056
UPDATE,1638237326654,35172
UPDATE,1638237326690,36001
UPDATE,1638237326728,37839
UPDATE,1638237326766,38403
UPDATE,1638237326804,37225
UPDATE,1638237326838,34461
UPDATE,1638237326872,34035
UPDATE,1638237326908,35977
UPDATE,1638237326944,35889
UPDATE,1638237326983,39218
UPDATE,1638237327016,32432
UPDATE,1638237327055,39063
UPDATE,1638237327086,30865
UPDATE,1638237327122,35953
UPDATE,1638237327154,31877
UPDATE,1638237327186,32174
UPDATE,1638237327222,36328
UPDATE,1638237327262,39878
UPDATE,1638237327301,38369
UPDATE,1638237327339,38412
UPDATE,1638237327372,33051
UPDATE,1638237327406,33331
UPDATE,1638237327440,34246
UPDATE,1638237327478,38103
UPDATE,1638237327511,32323
UPDATE,1638237327543,32446
UPDATE,1638237327576,32790
UPDATE,1638237327611,35249
UPDATE,1638237327646,34407
UPDATE,1638237327682,35988
UPDATE,1638237327723,41252
UPDATE,1638237327761,37570
UPDATE,1638237327801,40055
UPDATE,1638237327836,35616
UPDATE,1638237327869,32454
UPDATE,1638237327909,40087
UPDATE,1638237327944,35396
UPDATE,1638237327985,40169
UPDATE,1638237328017,32406
UPDATE,1638237328046,28915
UPDATE,1638237328078,31861
UPDATE,1638237328107,29343
UPDATE,1638237328137,29737
UPDATE,1638237328170,33109
UPDATE,1638237328202,31541
UPDATE,1638237328235,32750
UPDATE,1638237328272,37143
UPDATE,1638237328314,42540
UPDATE,1638237328355,40572
UPDATE,1638237328391,36134
UPDATE,1638237328425,33868
UPDATE,1638237328456,31115
UPDATE,1638237328490,33766
UPDATE,1638237328523,32953
UPDATE,1638237328560,36320
UPDATE,1638237328596,36797
UPDATE,1638237328633,36198
UPDATE,1638237328668,35405
UPDATE,1638237328702,33692
UPDATE,1638237328736,34256
UPDATE,1638237328773,36960
UPDATE,1638237328809,35569
UPDATE,1638237328845,36184
UPDATE,1638237328889,44246
UPDATE,1638237328926,36740
UPDATE,1638237328961,35353
UPDATE,1638237328998,36944
UPDATE,1638237329043,44013
UPDATE,1638237329072,29911
UPDATE,1638237329109,36539
UPDATE,1638237329141,31485
UPDATE,1638237329175,33958
UPDATE,1638237329208,33332
UPDATE,1638237329244,35470
UPDATE,1638237329278,34140
UPDATE,1638237329310,32473
UPDATE,1638237329348,37460
UPDATE,1638237329388,39898
UPDATE,1638237329425,36939
UPDATE,1638237329454,29434
UPDATE,1638237329484,29629
UPDATE,1638237329518,34196
UPDATE,1638237329550,32322
UPDATE,1638237329587,36357
UPDATE,1638237329640,52945
UPDATE,1638237329677,36696
UPDATE,1638237329707,30730
UPDATE,1638237329737,29704
UPDATE,1638237329766,28929
UPDATE,1638237329801,34491
UPDATE,1638237329836,35801
UPDATE,1638237329877,40074
UPDATE,1638237329908,31695
UPDATE,1638237329940,31489
UPDATE,1638237329970,30520
UPDATE,1638237330004,33876
UPDATE,1638237330037,32764
UPDATE,1638237330070,32605
UPDATE,1638237330101,30696
UPDATE,1638237330130,29224
UPDATE,1638237330162,32147
UPDATE,1638237330197,34693
UPDATE,1638237330230,33423
UPDATE,1638237330266,35718
UPDATE,1638237330301,35020
UPDATE,1638237330335,34281
UPDATE,1638237330374,38467
UPDATE,1638237330413,38753
UPDATE,1638237330445,32401
UPDATE,1638237330477,32022
UPDATE,1638237330516,38195
UPDATE,1638237330545,29254
UPDATE,1638237330582,36927
UPDATE,1638237330618,35751
UPDATE,1638237330649,31711
UPDATE,1638237330687,37072
UPDATE,1638237330721,34562
UPDATE,1638237330754,33097
UPDATE,1638237330790,36059
UPDATE,1638237330825,34071
UPDATE,1638237330858,33275
UPDATE,1638237330891,33350
UPDATE,1638237330925,33738
UPDATE,1638237330960,34624
UPDATE,1638237331001,41265
UPDATE,1638237331036,35144
UPDATE,1638237331068,31922
UPDATE,1638237331097,29222
UPDATE,1638237331136,38170
UPDATE,1638237331168,32596
UPDATE,1638237331203,34118
UPDATE,1638237331246,43543
UPDATE,1638237331281,34470
UPDATE,1638237331332,50787
UPDATE,1638237331369,37794
UPDATE,1638237331401,31971
UPDATE,1638237331435,33710
UPDATE,1638237331467,32227
UPDATE,1638237331501,33945
UPDATE,1638237331536,34973
UPDATE,1638237331570,33469
UPDATE,1638237331603,32701
UPDATE,1638237331636,32974
UPDATE,1638237331668,32404
UPDATE,1638237331705,36278
UPDATE,1638237331741,36747
UPDATE,1638237331778,36891
UPDATE,1638237331814,35185
UPDATE,1638237331855,41263
UPDATE,1638237331883,28446
UPDATE,1638237331912,28359
UPDATE,1638237331950,37931
UPDATE,1638237331986,36108
UPDATE,1638237332026,39986
UPDATE,1638237332061,35428
UPDATE,1638237332098,36494
UPDATE,1638237332132,33612
UPDATE,1638237332162,30733
UPDATE,1638237332195,32436
UPDATE,1638237332225,30472
UPDATE,1638237332259,33224
UPDATE,1638237332295,36223
UPDATE,1638237332328,32875
UPDATE,1638237332363,35033
UPDATE,1638237332396,32663
UPDATE,1638237332433,37103
UPDATE,1638237332467,33658
UPDATE,1638237332511,44521
UPDATE,1638237332544,32649
UPDATE,1638237332586,42331
UPDATE,1638237332623,37004
UPDATE,1638237332661,37664
UPDATE,1638237332701,39622
UPDATE,1638237332740,38752
UPDATE,1638237332777,37808
UPDATE,1638237332816,38338
UPDATE,1638237332852,36159
UPDATE,1638237332883,31377
UPDATE,1638237332915,31695
UPDATE,1638237332953,37511
UPDATE,1638237332985,32470
UPDATE,1638237333031,45769
UPDATE,1638237333065,34317
UPDATE,1638237333099,33403
UPDATE,1638237333128,29517
UPDATE,1638237333162,33687
UPDATE,1638237333200,37822
UPDATE,1638237333241,41139
UPDATE,1638237333278,36757
UPDATE,1638237333315,37057
UPDATE,1638237333351,36236
UPDATE,1638237333386,34371
UPDATE,1638237333419,33314
UPDATE,1638237333451,31758
UPDATE,1638237333487,35790
UPDATE,1638237333522,34562
UPDATE,1638237333550,28159
UPDATE,1638237333582,32378
UPDATE,1638237333618,35839
UPDATE,1638237333646,28181
UPDATE,1638237333683,37037
UPDATE,1638237333716,33028
UPDATE,1638237333750,33846
UPDATE,1638237333781,31013
UPDATE,1638237333813,31515
UPDATE,1638237333846,32665
UPDATE,1638237333882,35914
UPDATE,1638237333923,40815
UPDATE,1638237333956,32923
UPDATE,1638237333991,35573
UPDATE,1638237334022,30726
UPDATE,1638237334068,45774
UPDATE,1638237334113,44722
UPDATE,1638237334163,50829
UPDATE,1638237334198,34118
UPDATE,1638237334231,33105
UPDATE,1638237334263,31857
UPDATE,1638237334299,36760
UPDATE,1638237334337,37864
UPDATE,1638237334371,33458
UPDATE,1638237334405,33995
UPDATE,1638237334441,36343
UPDATE,1638237334470,28558
UPDATE,1638237334508,37692
UPDATE,1638237334548,40327
UPDATE,1638237334580,32053
UPDATE,1638237334618,37511
UPDATE,1638237334654,36223
UPDATE,1638237334685,30545
UPDATE,1638237334717,32373
UPDATE,1638237334751,34342
UPDATE,1638237334781,29655
UPDATE,1638237334822,40460
UPDATE,1638237334857,35169
UPDATE,1638237334893,35690
UPDATE,1638237334930,36862
UPDATE,1638237334968,38497
UPDATE,1638237335007,39275
UPDATE,1638237335047,39304
UPDATE,1638237335079,32649
UPDATE,1638237335111,31325
UPDATE,1638237335140,29372
UPDATE,1638237335174,34105
UPDATE,1638237335210,35051
UPDATE,1638237335246,36761
UPDATE,1638237335280,33869
UPDATE,1638237335318,38184
UPDATE,1638237335354,35667
UPDATE,1638237335384,29329
UPDATE,1638237335412,28393
UPDATE,1638237335445,33118
UPDATE,1638237335481,36108
UPDATE,1638237335516,34523
UPDATE,1638237335569,53518
UPDATE,1638237335602,32657
UPDATE,1638237335639,36460
UPDATE,1638237335675,35965
UPDATE,1638237335707,32283
UPDATE,1638237335740,32568
UPDATE,1638237335777,36772
UPDATE,1638237335810,32984
UPDATE,1638237335841,31794
UPDATE,1638237335875,33957
UPDATE,1638237335918,42423
UPDATE,1638237335960,42058
UPDATE,1638237335997,37069
UPDATE,1638237336034,36338
UPDATE,1638237336067,33311
UPDATE,1638237336100,32974
UPDATE,1638237336139,38743
UPDATE,1638237336175,36720
UPDATE,1638237336209,33552
UPDATE,1638237336245,35919
UPDATE,1638237336277,31919
UPDATE,1638237336311,33932
UPDATE,1638237336342,30449
UPDATE,1638237336371,29674
UPDATE,1638237336410,38434
UPDATE,1638237336438,28269
UPDATE,1638237336467,28828
UPDATE,1638237336497,29657
UPDATE,1638237336527,30768
UPDATE,1638237336569,41203
UPDATE,1638237336602,33237
UPDATE,1638237336634,31781
UPDATE,1638237336669,34616
UPDATE,1638237336702,32921
UPDATE,1638237336738,36598
UPDATE,1638237336769,31058
UPDATE,1638237336813,43512
UPDATE,1638237336846,33018
UPDATE,1638237336883,37091
UPDATE,1638237336918,34521
UPDATE,1638237336950,32458
UPDATE,1638237336989,38155
UPDATE,1638237337022,33194
UPDATE,1638237337058,35902
UPDATE,1638237337090,32565
UPDATE,1638237337126,35472
UPDATE,1638237337168,41751
UPDATE,1638237337202,33797
UPDATE,1638237337235,33658
UPDATE,1638237337267,31855
UPDATE,1638237337296,29109
UPDATE,1638237337332,35260
UPDATE,1638237337371,39171
UPDATE,1638237337400,29241
UPDATE,1638237337432,32172
UPDATE,1638237337468,35855
UPDATE,1638237337507,38778
UPDATE,1638237337553,45397
UPDATE,1638237337585,32104
UPDATE,1638237337613,28353
UPDATE,1638237337643,29763
UPDATE,1638237337675,31698
UPDATE,1638237337704,29582
UPDATE,1638237337740,36015
UPDATE,1638237337775,35034
UPDATE,1638237337811,35322
UPDATE,1638237337845,34108
UPDATE,1638237337881,35623
UPDATE,1638237337917,36137
UPDATE,1638237337946,29003
UPDATE,1638237337979,32754
UPDATE,1638237338012,32981
UPDATE,1638237338048,36654
UPDATE,1638237338083,34461
UPDATE,1638237338121,38137
UPDATE,1638237338154,32569
UPDATE,1638237338190,36448
UPDATE,1638237338226,36207
UPDATE,1638237338261,34620
UPDATE,1638237338292,31067
UPDATE,1638237338332,39306
UPDATE,1638237338370,37986
UPDATE,1638237338402,32254
UPDATE,1638237338435,33055
UPDATE,1638237338467,32293
UPDATE,1638237338501,33149
UPDATE,1638237338538,37103
UPDATE,1638237338574,36521
UPDATE,1638237338611,37011
UPDATE,1638237338647,35041
UPDATE,1638237338683,36825
UPDATE,1638237338718,34485
UPDATE,1638237338754,36406
UPDATE,1638237338800,45844
UPDATE,1638237338835,35111
UPDATE,1638237338871,35770
UPDATE,1638237338904,32852
UPDATE,1638237338933,29263
UPDATE,1638237338963,29989
UPDATE,1638237339002,38190
UPDATE,1638237339036,34347
UPDATE,1638237339072,35396
UPDATE,1638237339102,30242
UPDATE,1638237339135,33134
UPDATE,1638237339167,32301
UPDATE,1638237339211,43969
UPDATE,1638237339243,31730
UPDATE,1638237339275,31624
UPDATE,1638237339308,33560
UPDATE,1638237339343,34225
UPDATE,1638237339374,31421
UPDATE,1638237339410,35791
UPDATE,1638237339446,36016
UPDATE,1638237339483,36840
UPDATE,1638237339515,31691
UPDATE,1638237339552,37320
UPDATE,1638237339580,27798
UPDATE,1638237339608,28480
UPDATE,1638237339646,37259
UPDATE,1638237339677,30898
UPDATE,1638237339710,33070
UPDATE,1638237339740,30230
UPDATE,1638237339775,34871
UPDATE,1638237339809,33667
UPDATE,1638237339840,31065
UPDATE,1638237339879,38659
UPDATE,1638237339908,29636
UPDATE,1638237339939,30809
UPDATE,1638237339977,38053
UPDATE,1638237340015,37931
UPDATE,1638237340048,33050
UPDATE,1638237340080,31561
UPDATE,1638237340116,36096
UPDATE,1638237340149,32765
UPDATE,1638237340182,33329
UPDATE,1638237340221,38980
UPDATE,1638237340253,31340
UPDATE,1638237340282,28983
UPDATE,1638237340316,33745
UPDATE,1638237340353,37891
UPDATE,1638237340385,31645
UPDATE,1638237340416,31167
UPDATE,1638237340449,32533
UPDATE,1638237340484,35194
UPDATE,1638237340516,31992
UPDATE,1638237340553,36240
UPDATE,1638237340590,37663
UPDATE,1638237340625,35049
UPDATE,1638237340663,37482
UPDATE,1638237340696,33353
UPDATE,1638237340724,27792
UPDATE,1638237340755,31227
UPDATE,1638237340792,36581
UPDATE,1638237340824,32001
UPDATE,1638237340853,28386
UPDATE,1638237340885,32397
UPDATE,1638237340917,31755
UPDATE,1638237340954,37035
UPDATE,1638237340990,36482
UPDATE,1638237341026,35491
UPDATE,1638237341061,35071
UPDATE,1638237341092,31059
UPDATE,1638237341126,33898
UPDATE,1638237341163,36951
UPDATE,1638237341200,36445
UPDATE,1638237341233,33349
UPDATE,1638237341267,33168
UPDATE,1638237341300,33792
UPDATE,1638237341336,35934
UPDATE,1638237341373,36992
UPDATE,1638237341410,36278
UPDATE,1638237341444,33753
UPDATE,1638237341483,39032
UPDATE,1638237341516,33115
UPDATE,1638237341552,36493
UPDATE,1638237341588,36063
UPDATE,1638237341624,35579
UPDATE,1638237341653,28617
UPDATE,1638237341683,30660
UPDATE,1638237341718,34374
UPDATE,1638237341748,29691
UPDATE,1638237341784,36886
UPDATE,1638237341818,33765
UPDATE,1638237341850,32037
UPDATE,1638237341879,28811
UPDATE,1638237341908,28321
UPDATE,1638237341942,34280
UPDATE,1638237341970,28338
UPDATE,1638237342003,32833
UPDATE,1638237342036,33043
UPDATE,1638237342066,29468
UPDATE,1638237342100,34613
UPDATE,1638237342133,32194
UPDATE,1638237342169,35887
UPDATE,1638237342201,32892
UPDATE,1638237342235,33399
UPDATE,1638237342268,32849
UPDATE,1638237342304,36250
UPDATE,1638237342342,37452
UPDATE,1638237342375,33012
UPDATE,1638237342411,36006
UPDATE,1638237342438,27730
UPDATE,1638237342476,37282
UPDATE,1638237342515,39114
UPDATE,1638237342551,36312
UPDATE,1638237342595,43589
UPDATE,1638237342634,39283
UPDATE,1638237342663,28441
UPDATE,1638237342696,33662
UPDATE,1638237342725,28079
UPDATE,1638237342765,40319
UPDATE,1638237342803,37962
UPDATE,1638237342839,35729
UPDATE,1638237342870,31349
UPDATE,1638237342899,29117
UPDATE,1638237342943,44043
UPDATE,1638237342973,29906
UPDATE,1638237343009,35876
UPDATE,1638237343043,34011
UPDATE,1638237343081,37950
UPDATE,1638237343110,28958
UPDATE,1638237343150,40047
UPDATE,1638237343192,42155
UPDATE,1638237343228,35769
UPDATE,1638237343264,35975
UPDATE,1638237343300,35673
UPDATE,1638237343333,32990
UPDATE,1638237343370,37414
UPDATE,1638237343404,33021
UPDATE,1638237343437,33876
UPDATE,1638237343470,32375
UPDATE,1638237343506,35821
UPDATE,1638237343537,31471
UPDATE,1638237343572,34997
UPDATE,1638237343605,32563
UPDATE,1638237343636,31375
UPDATE,1638237343675,38727
UPDATE,1638237343705,30156
UPDATE,1638237343735,30155
UPDATE,1638237343770,35034
UPDATE,1638237343806,35012
UPDATE,1638237343834,27995
UPDATE,1638237343867,33224
UPDATE,1638237343903,35857
UPDATE,1638237343935,31997
UPDATE,1638237343966,30937
UPDATE,1638237343995,29414
UPDATE,1638237344028,32980
UPDATE,1638237344059,30440
UPDATE,1638237344094,35634
UPDATE,1638237344125,30216
UPDATE,1638237344155,29976
UPDATE,1638237344188,33606
UPDATE,1638237344221,32984
UPDATE,1638237344256,34967
UPDATE,1638237344290,34122
UPDATE,1638237344323,32187
UPDATE,1638237344355,32169
UPDATE,1638237344386,31386
UPDATE,1638237344418,31815
UPDATE,1638237344456,37789
UPDATE,1638237344489,32604
UPDATE,1638237344520,31350
UPDATE,1638237344554,33874
UPDATE,1638237344582,27507
UPDATE,1638237344618,36755
UPDATE,1638237344653,34530
UPDATE,1638237344688,35535
UPDATE,1638237344721,32489
UPDATE,1638237344755,33942
UPDATE,1638237344794,38687
UPDATE,1638237344832,38064
UPDATE,1638237344871,38908
UPDATE,1638237344909,37901
UPDATE,1638237344946,37569
UPDATE,1638237344977,30801
UPDATE,1638237345010,32410
UPDATE,1638237345043,33321
UPDATE,1638237345081,37492
UPDATE,1638237345116,35708
UPDATE,1638237345150,33528
UPDATE,1638237345183,32579
UPDATE,1638237345220,37013
UPDATE,1638237345257,36962
UPDATE,1638237345292,35757
UPDATE,1638237345322,29377
UPDATE,1638237345354,31761
UPDATE,1638237345391,37581
UPDATE,1638237345419,28118
UPDATE,1638237345451,31082
UPDATE,1638237345483,32854
UPDATE,1638237345518,34364
UPDATE,1638237345552,34494
UPDATE,1638237345585,32472
UPDATE,1638237345614,28621
UPDATE,1638237345646,32353
UPDATE,1638237345678,32118
UPDATE,1638237345715,37220
UPDATE,1638237345750,34198
UPDATE,1638237345786,35859
UPDATE,1638237345814,28867
UPDATE,1638237345851,36874
UPDATE,1638237345884,32186
UPDATE,1638237345915,31869
UPDATE,1638237345946,30854
UPDATE,1638237345979,32575
UPDATE,1638237346015,35557
UPDATE,1638237346046,31527
UPDATE,1638237346081,35180
UPDATE,1638237346113,31858
UPDATE,1638237346145,31915
UPDATE,1638237346183,38015
UPDATE,1638237346217,33415
UPDATE,1638237346247,30643
UPDATE,1638237346284,36215
UPDATE,1638237346313,29157
UPDATE,1638237346350,37337
UPDATE,1638237346380,29678
UPDATE,1638237346411,31576
UPDATE,1638237346444,32750
UPDATE,1638237346483,39214
UPDATE,1638237346517,33103
UPDATE,1638237346549,32895
UPDATE,1638237346583,33752
UPDATE,1638237346619,35638
UPDATE,1638237346656,36593
UPDATE,1638237346687,31488
UPDATE,1638237346719,31955
UPDATE,1638237346751,31871
UPDATE,1638237346787,35971
UPDATE,1638237346822,35052
UPDATE,1638237346855,33404
UPDATE,1638237346888,32882
UPDATE,1638237346924,35645
UPDATE,1638237346960,36276
UPDATE,1638237346995,34679
UPDATE,1638237347029,34053
UPDATE,1638237347067,37900
UPDATE,1638237347105,37992
UPDATE,1638237347139,34070
UPDATE,1638237347178,38987
UPDATE,1638237347207,29123
UPDATE,1638237347240,32976
UPDATE,1638237347276,35874
UPDATE,1638237347315,38737
UPDATE,1638237347351,35760
UPDATE,1638237347387,35703
UPDATE,1638237347423,36686
UPDATE,1638237347455,31994
UPDATE,1638237347493,37523
UPDATE,1638237347529,36092
UPDATE,1638237347568,38515
UPDATE,1638237347605,37334
UPDATE,1638237347649,44222
UPDATE,1638237347677,27590
UPDATE,1638237347710,33256
UPDATE,1638237347743,32503
UPDATE,1638237347779,35982
UPDATE,1638237347807,27970
UPDATE,1638237347834,27485
UPDATE,1638237347871,36251
UPDATE,1638237347907,35948
UPDATE,1638237347936,29419
UPDATE,1638237347969,32927
UPDATE,1638237347998,29241
UPDATE,1638237348031,33220
UPDATE,1638237348067,35704
UPDATE,1638237348097,30251
UPDATE,1638237348129,31351
UPDATE,1638237348164,35146
UPDATE,1638237348200,36401
UPDATE,1638237348233,32082
UPDATE,1638237348273,40591
UPDATE,1638237348311,37281
UPDATE,1638237348344,33383
UPDATE,1638237348378,34011
UPDATE,1638237348409,30943
UPDATE,1638237348438,29464
UPDATE,1638237348473,34426
UPDATE,1638237348508,35001
UPDATE,1638237348537,28641
UPDATE,1638237348570,33108
UPDATE,1638237348605,35273
UPDATE,1638237348641,35691
UPDATE,1638237348669,28320
UPDATE,1638237348721,52023
UPDATE,1638237348758,36546
UPDATE,1638237348793,34971
UPDATE,1638237348823,30202
UPDATE,1638237348860,36639
UPDATE,1638237348894,34795
UPDATE,1638237348927,32581
UPDATE,1638237348972,44589
UPDATE,1638237349003,31616
UPDATE,1638237349036,32350
UPDATE,1638237349072,36207
UPDATE,1638237349107,35349
UPDATE,1638237349137,30113
UPDATE,1638237349200,62253
UPDATE,1638237349231,31725
UPDATE,1638237349265,33427
UPDATE,1638237349302,36770
UPDATE,1638237349337,35719
UPDATE,1638237349372,34301
UPDATE,1638237349408,36631
UPDATE,1638237349441,32079
UPDATE,1638237349472,31003
UPDATE,1638237349507,35213
UPDATE,1638237349544,37062
UPDATE,1638237349581,37480
UPDATE,1638237349614,32017
UPDATE,1638237349651,37037
UPDATE,1638237349683,32096
UPDATE,1638237349723,40043
UPDATE,1638237349755,32510
UPDATE,1638237349796,40834
UPDATE,1638237349833,37060
UPDATE,1638237349868,34479
UPDATE,1638237349903,35668
UPDATE,1638237349937,33537
UPDATE,1638237349973,35728
UPDATE,1638237350009,35956
UPDATE,1638237350041,31745
UPDATE,1638237350070,29398
UPDATE,1638237350103,32950
UPDATE,1638237350132,28421
UPDATE,1638237350165,33384
UPDATE,1638237350200,34645
UPDATE,1638237350228,28740
UPDATE,1638237350268,39846
UPDATE,1638237350303,34599
UPDATE,1638237350334,31386
UPDATE,1638237350366,31847
UPDATE,1638237350403,37221
UPDATE,1638237350436,32139
UPDATE,1638237350472,36397
UPDATE,1638237350506,33975
UPDATE,1638237350541,35120
UPDATE,1638237350576,34544
UPDATE,1638237350616,40426
UPDATE,1638237350659,43184
UPDATE,1638237350692,32972
UPDATE,1638237350724,31908
UPDATE,1638237350756,31996
UPDATE,1638237350791,34414
UPDATE,1638237350827,36030
UPDATE,1638237350861,34323
UPDATE,1638237350891,30080
UPDATE,1638237350922,31124
UPDATE,1638237350954,31094
UPDATE,1638237350988,34668
UPDATE,1638237351018,29398
UPDATE,1638237351047,29623
UPDATE,1638237351081,33144
