Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638239173415,1
UPDATE latency raw data: op, timestamp(ms), latency(us)
UPDATE,1638239139375,190964
UPDATE,1638239139414,38815
UPDATE,1638239139444,30053
UPDATE,1638239139481,36302
UPDATE,1638239139518,36923
UPDATE,1638239139553,35119
UPDATE,1638239139589,35735
UPDATE,1638239139637,48546
UPDATE,1638239139672,34922
UPDATE,1638239139710,38042
UPDATE,1638239139747,36605
UPDATE,1638239139791,43921
UPDATE,1638239139825,34300
UPDATE,1638239139865,40000
UPDATE,1638239139904,38160
UPDATE,1638239139941,37126
UPDATE,1638239139984,43381
UPDATE,1638239140021,36239
UPDATE,1638239140058,36950
UPDATE,1638239140099,41109
UPDATE,1638239140137,37741
UPDATE,1638239140175,38526
UPDATE,1638239140222,46358
UPDATE,1638239140254,32808
UPDATE,1638239140291,36539
UPDATE,1638239140329,38205
UPDATE,1638239140365,36203
UPDATE,1638239140397,31405
UPDATE,1638239140427,29875
UPDATE,1638239140468,40659
UPDATE,1638239140504,36060
UPDATE,1638239140540,36172
UPDATE,1638239140575,35387
UPDATE,1638239140605,29614
UPDATE,1638239140640,35110
UPDATE,1638239140675,34532
UPDATE,1638239140715,40069
UPDATE,1638239140751,36130
UPDATE,1638239140788,36561
UPDATE,1638239140823,35347
UPDATE,1638239140865,41537
UPDATE,1638239140901,35893
UPDATE,1638239140937,36615
UPDATE,1638239140975,37580
UPDATE,1638239141028,52656
UPDATE,1638239141065,37398
UPDATE,1638239141104,38350
UPDATE,1638239141138,33906
UPDATE,1638239141174,36595
UPDATE,1638239141208,33983
UPDATE,1638239141240,31438
UPDATE,1638239141275,35013
UPDATE,1638239141311,36673
UPDATE,1638239141345,33745
UPDATE,1638239141379,33815
UPDATE,1638239141418,38801
UPDATE,1638239141452,34141
UPDATE,1638239141486,33491
UPDATE,1638239141529,43395
UPDATE,1638239141565,35490
UPDATE,1638239141600,35055
UPDATE,1638239141633,33197
UPDATE,1638239141674,40463
UPDATE,1638239141711,36995
UPDATE,1638239141747,36551
UPDATE,1638239141781,33403
UPDATE,1638239141811,29707
UPDATE,1638239141840,29349
UPDATE,1638239141875,34741
UPDATE,1638239141909,34307
UPDATE,1638239141944,34558
UPDATE,1638239141979,35179
UPDATE,1638239142014,34898
UPDATE,1638239142047,33106
UPDATE,1638239142081,33612
UPDATE,1638239142115,34280
UPDATE,1638239142153,37411
UPDATE,1638239142196,43617
UPDATE,1638239142233,36887
UPDATE,1638239142269,35983
UPDATE,1638239142308,39155
UPDATE,1638239142340,31904
UPDATE,1638239142379,38501
UPDATE,1638239142410,31353
UPDATE,1638239142439,28563
UPDATE,1638239142470,31235
UPDATE,1638239142503,33103
UPDATE,1638239142543,39876
UPDATE,1638239142637,93761
UPDATE,1638239142671,33764
UPDATE,1638239142704,33108
UPDATE,1638239142736,31281
UPDATE,1638239142773,37472
UPDATE,1638239142809,35749
UPDATE,1638239142844,34891
UPDATE,1638239142887,42949
UPDATE,1638239142916,28846
UPDATE,1638239142946,30267
UPDATE,1638239142978,32137
UPDATE,1638239143011,32835
UPDATE,1638239143047,35411
UPDATE,1638239143081,34557
UPDATE,1638239143112,30526
UPDATE,1638239143146,34598
UPDATE,1638239143185,38438
UPDATE,1638239143219,33803
UPDATE,1638239143253,34019
UPDATE,1638239143288,35325
UPDATE,1638239143330,41753
UPDATE,1638239143365,34871
UPDATE,1638239143400,34977
UPDATE,1638239143449,49245
UPDATE,1638239143489,39771
UPDATE,1638239143518,29058
UPDATE,1638239143553,34571
UPDATE,1638239143588,35032
UPDATE,1638239143622,33843
UPDATE,1638239143653,31326
UPDATE,1638239143685,31722
UPDATE,1638239143715,29761
UPDATE,1638239143750,35632
UPDATE,1638239143793,42073
UPDATE,1638239143826,33208
UPDATE,1638239143860,33723
UPDATE,1638239143898,38196
UPDATE,1638239143934,36067
UPDATE,1638239143967,32964
UPDATE,1638239144012,44541
UPDATE,1638239144043,30939
UPDATE,1638239144073,30808
UPDATE,1638239144105,31613
UPDATE,1638239144144,38400
UPDATE,1638239144173,29568
UPDATE,1638239144204,30381
UPDATE,1638239144237,33216
UPDATE,1638239144272,35042
UPDATE,1638239144315,43387
UPDATE,1638239144350,34483
UPDATE,1638239144384,33674
UPDATE,1638239144421,36872
UPDATE,1638239144456,34980
UPDATE,1638239144500,44839
UPDATE,1638239144535,34787
UPDATE,1638239144569,33943
UPDATE,1638239144600,30182
UPDATE,1638239144633,33872
UPDATE,1638239144669,35366
UPDATE,1638239144705,35622
UPDATE,1638239144745,40780
UPDATE,1638239144781,35826
UPDATE,1638239144814,32582
UPDATE,1638239144850,36074
UPDATE,1638239144881,30625
UPDATE,1638239144914,33405
UPDATE,1638239144951,36623
UPDATE,1638239144982,30779
UPDATE,1638239145012,30676
UPDATE,1638239145042,29551
UPDATE,1638239145074,32079
UPDATE,1638239145108,33599
UPDATE,1638239145137,28837
UPDATE,1638239145168,31612
